₹ 380000 / Piece 
Working Area	1300×2500 mm
Spindle Power	4.5 kW
Axis Count	3 Axis
Table Type	T Slot Table
Supported Material	Solid Wood
Spindle Speed	0–24000 rpm
X-Y Axis Working Area	1300 x 2500 mm
Z Axis Working Area	300 mm
Model	SMA1325
Job Material	PVC, Acrylic, HDF, Plywood, Foam Board, MDF, Plastic, Wood
Country of Origin	Made in India
Capacity	700 Kg/Hour
Voltage	380 V
Frequency	50 Hz
We are engaged in offering CNC Wood Router to our clients. All our products range has been widely appreciated by our clients.
